secteur;Echange et gestion;Manutention et genie industriel;Service aux personnes;Langues et developpement personnel;Services a la collectivite;Information et communication;Electricite et Electronique;Transformation ;Genie_civil Construction bois;Production mecanique;Agriculture;Arts et audiovisuel;Sciences_humaines Economie Droit;Sciences;Non renseigne;
Auvergne-Rhone-Alpes; 21 823   ; 8 956   ; 17 815   ; 22 569   ; 6 253   ; 6 552   ; 2 376   ; 3 893   ; 2 920   ; 2 639   ; 1 619   ; 2 203   ; 2 608   ; 525   ; 3 912   ;
Bourgogne-Franche-Comte; 7 718   ; 4 231   ; 6 194   ; 7 140   ; 2 101   ; 2 500   ; 723   ; 1 271   ; 1 356   ; 1 897   ; 910   ; 557   ; 545   ; 108   ; 1 246   ;
Bretagne; 6 876   ; 3 729   ; 7 048   ; 8 774   ; 1 751   ; 2 361   ; 1 308   ; 1 239   ; 1 464   ; 1 509   ; 1 069   ; 872   ; 1 883   ; 129   ; 1 810   ;
Centre-Val de Loire; 7 106   ; 3 327   ; 5 472   ; 6 820   ; 1 523   ; 1 374   ; 855   ; 1 325   ; 993   ; 912   ; 652   ; 294   ; 300   ; 121   ; 1 090   ;
Corse; 709   ; 121   ; 784   ; 907   ; 137   ; 215   ; 99   ; 111   ; 117   ; 55   ; 102   ; 50   ; 39   ; 6   ; 80   ;
Grand Est; 17 386   ; 7 636   ; 11 699   ; 21 857   ; 5 083   ; 6 114   ; 1 772   ; 2 314   ; 2 976   ; 3 740   ; 1 360   ; 833   ; 552   ; 241   ; 2 700   ;
Guadeloupe; 1 209   ; 433   ; 1 370   ; 348   ; 443   ; 723   ; 91   ; 230   ; 172   ; 72   ; 88   ; 62   ; 99   ; 3   ; 788   ;
Guyane; 409   ; 44   ; 622   ; 453   ; 106   ; 179   ; 49   ; 93   ; 256   ; 39   ; 27   ; 22   ; 7   ; 1   ; 201   ;
Hauts-de-France; 20 468   ; 11 765   ; 13 818   ; 12 134   ; 6 183   ; 4 584   ; 2 343   ; 3 119   ; 3 451   ; 5 760   ; 986   ; 726   ; 427   ; 247   ; 4 878   ;
Ile-de-France; 24 830   ; 6 768   ; 21 040   ; 21 878   ; 11 336   ; 11 952   ; 3 426   ; 4 044   ; 2 462   ; 1 126   ; 628   ; 3 531   ; 1 120   ; 241   ; 4 293   ;
La Reunion; 2 612   ; 1 277   ; 1 984   ; 2 413   ; 1 477   ; 1 046   ; 435   ; 301   ; 681   ; 148   ; 351   ; 123   ; 50   ; 5   ; 1 176   ;
Martinique; 1 622   ; 308   ; 1 582   ; 1 215   ; 679   ; 554   ; 117   ; 418   ; 279   ; 98   ; 401   ; 93   ; 49   ; 6   ; 279   ;
Mayotte; 300   ; 38   ; 332   ; 110   ; 77   ; 62   ; 18   ; 50   ; 45   ; 10   ; 26   ; 1   ; -     ; 2   ; 93   ;
Normandie; 9 413   ; 5 578   ; 6 931   ; 10 263   ; 3 246   ; 2 607   ; 1 152   ; 1 688   ; 1 688   ; 1 657   ; 790   ; 915   ; 200   ; 168   ; 1 978   ;
Nouvelle Aquitaine; 16 265   ; 5 719   ; 12 014   ; 15 387   ; 3 955   ; 4 993   ; 1 446   ; 2 686   ; 3 112   ; 2 216   ; 2 287   ; 916   ; 1 176   ; 322   ; 3 584   ;
Occitanie; 18 012   ; 6 705   ; 14 853   ; 22 204   ; 5 281   ; 6 089   ; 2 264   ; 2 539   ; 3 256   ; 2 945   ; 2 462   ; 3 424   ; 1 746   ; 244   ; 4 408   ;
Pays-de-la-Loire; 7 920   ; 4 596   ; 6 433   ; 9 246   ; 1 954   ; 2 446   ; 1 213   ; 1 955   ; 1 347   ; 2 250   ; 1 133   ; 483   ; 136   ; 101   ; 1 784   ;
Provence-Alpes-Cote-d'Azur; 16 102   ; 6 204   ; 14 291   ; 11 622   ; 5 481   ; 5 095   ; 1 847   ; 2 850   ; 1 664   ; 1 010   ; 1 031   ; 1 085   ; 2 942   ; 432   ; 4 034   ;
Total; 180 780   ; 77 435   ; 144 282   ; 175 340   ; 57 066   ; 59 446   ; 21 534   ; 30 126   ; 28 239   ; 28 083   ; 15 922   ; 16 190   ; 13 879   ; 2 902   ; 38 334   ;